 Таблица транзитов – июнь 2027,,,,,,,,,,,,,
Дата,Солнце,Земля,Луна,Меркурий,Венера,Марс,Юпитер,Сатурн,Уран,Нептун,Плутон,Сев.узел,Юж.узел
2026-06-21,10.4,42.4,44.3,9.2,16.2,30.1,5.3,47.2,24.6,29.1,27.5,3.4,33.4
2026-06-22,10.5,42.5,45.1,9.3,16.3,30.2,5.4,47.3,24.6,29.2,27.5,3.4,33.4
2026-06-23,10.6,42.6,46.2,9.4,16.4,30.3,5.5,47.4,24.2,29.2,27.6,3.5,33.5
2026-06-24,11.1,43.1,47.4,10.1,17.1,31.1,6.1,48.1,25.1,29.3,27.6,3.5,33.5
2026-06-25,11.2,43.2,48.5,10.2,17.2,31.2,6.2,48.2,25.2,29.4,27.2,3.6,33.6
2026-06-26,11.3,43.3,49.6,10.3,17.3,31.3,6.3,48.3,25.3,29.4,27.2,3.6,33.6
2026-06-27,12.1,44.1,50.2,11.1,18.1,32.1,7.1,49.1,26.1,29.5,27.3,3.2,33.2
2026-06-28,12.2,44.2,51.3,11.2,18.2,32.2,7.2,49.2,26.2,29.5,27.3,3.2,33.2
2026-06-29,12.3,44.3,52.4,11.3,18.3,32.3,7.3,49.3,26.3,29.6,27.4,3.3,33.3
2026-06-30,13.1,45.1,53.5,12.1,19.1,33.1,8.1,50.1,27.1,29.6,27.4,3.3,33.3
2026-07-01,13.2,45.2,54.6,12.2,19.2,33.2,8.2,50.2,27.2,29.2,28.1,3.4,33.4
2026-07-02,13.3,45.3,55.2,12.3,19.3,33.3,8.3,50.3,27.3,29.2,28.5,3.4,33.4
2026-07-03,14.1,46.1,56.3,13.1,20.1,34.1,9.1,51.1,28.1,29.3,28.1,4.5,34.5
2026-07-04,14.2,46.2,57.4,13.2,20.2,34.2,9.2,51.2,28.2,29.3,28.1,4.5,34.5
2026-07-05,14.3,46.3,58.5,13.3,20.3,34.3,9.3,51.3,28.3,29.4,28.2,4.1,34.1
2026-07-06,15.1,47.1,59.6,14.1,21.1,35.1,10.1,52.1,29.1,29.4,28.2,4.1,34.1
2026-07-07,15.2,47.2,60.2,14.2,21.2,35.2,10.2,52.2,29.2,30.5,28.3,4.2,34.2
2026-07-08,15.3,47.3,61.3,14.3,21.3,35.3,10.3,52.3,29.3,30.5,28.3,4.2,34.2
2026-07-09,16.1,48.1,62.4,15.1,22.1,36.1,11.1,53.1,30.1,30.1,28.4,4.3,34.3
2026-07-10,16.2,48.2,63.5,15.2,22.2,36.2,11.2,53.2,30.2,30.1,28.4,4.3,34.3
2026-07-11,16.3,48.3,64.6,15.3,22.3,36.3,11.3,53.3,30.3,30.2,28.5,4.4,34.4
2026-07-12,17.1,49.1,1.2,16.1,23.1,37.1,12.1,54.1,31.1,30.2,28.5,4.4,34.4
2026-07-13,17.2,49.2,2.3,16.2,23.2,37.2,12.2,54.2,31.2,30.3,28.6,4.5,34.5
2026-07-14,17.3,49.3,3.4,16.3,23.3,37.3,12.3,54.3,31.3,30.3,28.6,4.5,34.5
2026-07-15,18.1,50.1,4.5,17.1,24.1,38.1,13.1,55.1,32.1,30.4,28.2,4.6,34.6
2026-07-16,18.2,50.2,5.6,17.2,24.2,38.2,13.2,55.2,32.2,30.4,28.2,4.6,34.6
2026-07-17,18.3,50.3,6.2,17.3,24.3,38.3,13.3,55.3,32.3,30.5,28.3,5.1,35.1
2026-07-18,19.1,51.1,7.3,18.1,25.1,39.1,14.1,56.1,33.1,30.5,28.3,5.1,35.1
2026-07-19,19.2,51.2,8.4,18.2,25.2,39.2,14.2,56.2,33.2,30.6,28.4,5.2,35.2
2026-07-20,19.3,51.3,9.5,18.3,25.3,39.3,14.3,56.3,33.3,30.6,28.4,5.2,35.2